q1_name,df_id,df_name,is_oa
International Journal for Educational Integrity,https://openalex.org/S4210203117,International Journal for Educational Integrity,True
INTERNATIONAL NURSING REVIEW,https://openalex.org/S128894006,International Nursing Review,False
BRITISH JOURNAL OF OPHTHALMOLOGY,https://openalex.org/S79587146,British Journal of Ophthalmology,False
Journal of Mixed Methods Research,https://openalex.org/S3162283,Journal of Mixed Methods Research,False
Radiology-Cardiothoracic Imaging,https://openalex.org/S4210218555,Radiology Cardiothoracic Imaging,False
POULTRY SCIENCE,https://openalex.org/S133896805,Poultry Science,True
Revista de Psicodidactica,https://openalex.org/S965846755,Revista de Psicodidáctica,False
CLINICAL CHEMISTRY AND LABORATORY MEDICINE,https://openalex.org/S124948411,Clinical Chemistry and Laboratory Medicine (CCLM),False
Applied Psychology-Health and Well Being,https://openalex.org/S168123707,Applied Psychology Health and Well-Being,False
POLICY SCIENCES,https://openalex.org/S197895017,Policy Sciences,False
JOURNAL OF SCHOOL PSYCHOLOGY,https://openalex.org/S69627091,Journal of School Psychology,False
AMERICAN FAMILY PHYSICIAN,https://openalex.org/S154286738,American family physician,False
Forest Ecosystems,https://openalex.org/S2736342340,Forest Ecosystems,True
NEW POLITICAL ECONOMY,https://openalex.org/S146242404,New Political Economy,False
American Journal of Obstetrics & Gynecology MFM,https://openalex.org/S4210238021,American Journal of Obstetrics & Gynecology MFM,False
JOURNAL OF ADVANCED NURSING,https://openalex.org/S137832324,Journal of Advanced Nursing,False
PEST MANAGEMENT SCIENCE,https://openalex.org/S31777576,Pest Management Science,False
LEARNING AND INDIVIDUAL DIFFERENCES,https://openalex.org/S9267903,Learning and Individual Differences,False
PAKISTAN VETERINARY JOURNAL,https://openalex.org/S12629481,Pakistan Veterinary Journal,True
JOURNAL OF COUNSELING PSYCHOLOGY,https://openalex.org/S135831435,Journal of Counseling Psychology,False
ACADEMIC RADIOLOGY,https://openalex.org/S182038535,Academic Radiology,False
Journal of Epidemiology and Global Health,https://openalex.org/S2764371953,Journal of Epidemiology and Global Health,True
MEDICAL CLINICS OF NORTH AMERICA,https://openalex.org/S33396077,Medical Clinics of North America,False
AQUACULTURE ECONOMICS & MANAGEMENT,https://openalex.org/S90033409,Aquaculture Economics & Management,False
JOURNAL OF DERMATOLOGICAL SCIENCE,https://openalex.org/S186278352,Journal of Dermatological Science,False
LIMNOLOGY AND OCEANOGRAPHY,https://openalex.org/S207705515,Limnology and Oceanography,False
Translational Stroke Research,https://openalex.org/S59392935,Translational Stroke Research,False
ULTRASONICS,https://openalex.org/S168745376,Ultrasonics,False
SLEEP MEDICINE,https://openalex.org/S183718435,Sleep Medicine,False
DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,https://openalex.org/S158041768,Developmental Medicine & Child Neurology,False
HEALTH & PLACE,https://openalex.org/S43487215,Health & Place,False
Journal of Ovarian Research,https://openalex.org/S15947008,Journal of Ovarian Research,True
Myrmecological News,https://openalex.org/S185036829,Myrmecological news/Myrmecologische Nachrichten,False
Clinical Research in Cardiology,https://openalex.org/S81098524,Clinical Research in Cardiology,False
NeoBiota,https://openalex.org/S4210215112,NeoBiota,True
Asian Journal of Psychiatry,https://openalex.org/S152361726,Asian Journal of Psychiatry,False
Neurospine,https://openalex.org/S4210204930,Neurospine,True
Bulletin of Earthquake Engineering,https://openalex.org/S144568777,Bulletin of Earthquake Engineering,False
JOURNAL OF COMPUTATIONAL PHYSICS,https://openalex.org/S148709879,Journal of Computational Physics,False
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,https://openalex.org/S3006207977,Proceedings of the Royal Society B Biological Sciences,False
JOURNAL OF INTERNATIONAL ECONOMICS,https://openalex.org/S198098467,Journal of International Economics,False
JOURNAL OF PROTEOME RESEARCH,https://openalex.org/S74367812,Journal of Proteome Research,False
ACS Synthetic Biology,https://openalex.org/S54167817,ACS Synthetic Biology,False
European Radiology Experimental,https://openalex.org/S3035668652,European Radiology Experimental,True
Sustainable Computing-Informatics & Systems,https://openalex.org/S2764953436,Sustainable Computing Informatics and Systems,False
IEEE JOURNAL OF OCEANIC ENGINEERING,https://openalex.org/S132957497,IEEE Journal of Oceanic Engineering,False
North American Journal of Economics and Finance,https://openalex.org/S155526628,The North American Journal of Economics and Finance,False
ECONOMIC JOURNAL,https://openalex.org/S45992627,The Economic Journal,False
AMERICAN JOURNAL OF INFECTION CONTROL,https://openalex.org/S154451576,American Journal of Infection Control,False
Evolution Letters,https://openalex.org/S4210186268,Evolution Letters,True
Scientific Reports,https://openalex.org/S196734849,Scientific Reports,True
JOURNAL OF SYSTEMS ARCHITECTURE,https://openalex.org/S127660348,Journal of Systems Architecture,False
PLoS Computational Biology,https://openalex.org/S86033158,PLoS Computational Biology,True
Journal of Applied Research on Medicinal and Aromatic Plants,https://openalex.org/S2764636153,Journal of Applied Research on Medicinal and Aromatic Plants,False
Journal of Intensive Care,https://openalex.org/S2764383928,Journal of Intensive Care,True
INFORMATION AND SOFTWARE TECHNOLOGY,https://openalex.org/S205010575,Information and Software Technology,False
OPTICAL MATERIALS,https://openalex.org/S199247034,Optical Materials,False
Climate of the Past,https://openalex.org/S202457705,Climate of the past,True
JMIR Serious Games,https://openalex.org/S4210175137,JMIR Serious Games,True
JOURNAL OF CHROMATOGRAPHY A,https://openalex.org/S176136234,Journal of Chromatography A,False
DM DISEASE-A-MONTH,https://openalex.org/S119300341,Disease-a-Month,False
WOUND REPAIR AND REGENERATION,https://openalex.org/S121715350,Wound Repair and Regeneration,False
AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION,https://openalex.org/S32993367,American Journal of Pharmaceutical Education,True
ANALYTICAL AND BIOANALYTICAL CHEMISTRY,https://openalex.org/S18188872,Analytical and Bioanalytical Chemistry,False
JOURNAL OF INORGANIC BIOCHEMISTRY,https://openalex.org/S155362585,Journal of Inorganic Biochemistry,False
Journal of Breath Research,https://openalex.org/S58954656,Journal of Breath Research,False
PROGRESS IN OCEANOGRAPHY,https://openalex.org/S9314624,Progress In Oceanography,False
BRITISH JOURNAL OF CLINICAL PSYCHOLOGY,https://openalex.org/S36339387,British Journal of Clinical Psychology,False
Current Heart Failure Reports,https://openalex.org/S87913050,Current Heart Failure Reports,False
COMMENTS ON INORGANIC CHEMISTRY,https://openalex.org/S105067899,Comments on Inorganic Chemistry,False
Journal of Sustainable Finance & Investment,https://openalex.org/S4210206470,Journal of Sustainable Finance & Investment,False
Visual Informatics,https://openalex.org/S2898150413,Visual Informatics,True
ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,https://openalex.org/S153476765,Archives of Biochemistry and Biophysics,False
Geoenvironmental Disasters,https://openalex.org/S2737544291,Geoenvironmental Disasters,True
ACTA MECHANICA SINICA,https://openalex.org/S130004147,Acta Mechanica Sinica,False
Biochemia Medica,https://openalex.org/S185467459,Biochemia Medica,True
EXCLI Journal,https://openalex.org/S39273986,EXCLI journal,True
JOINT BONE SPINE,https://openalex.org/S8204489,Joint Bone Spine,False
Journal of Advanced Joining Processes,https://openalex.org/S4210200780,Journal of Advanced Joining Processes,True
JOURNAL OF VINYL & ADDITIVE TECHNOLOGY,https://openalex.org/S162486132,Journal of Vinyl and Additive Technology,False
COLD REGIONS SCIENCE AND TECHNOLOGY,https://openalex.org/S141892599,Cold Regions Science and Technology,False
Polish Archives of Internal Medicine-Polskie Archiwum Medycyny Wewnetrznej,https://openalex.org/S96742272,Polskie Archiwum Medycyny Wewnętrznej,True
One Health Outlook,https://openalex.org/S4210234911,One Health Outlook,True
Actas Dermo-Sifiliograficas,https://openalex.org/S2755888424,Actas Dermo-Sifiliográficas,True
INTERNATIONAL JOURNAL OF TUBERCULOSIS AND LUNG DISEASE,https://openalex.org/S124285728,The International Journal of Tuberculosis and Lung Disease,False
WATER AIR AND SOIL POLLUTION,https://openalex.org/S156652029,Water Air & Soil Pollution,False
Expert Review of Proteomics,https://openalex.org/S96346590,Expert Review of Proteomics,False
IET Nanobiotechnology,https://openalex.org/S97987397,IET Nanobiotechnology,True
Pulse,https://openalex.org/S4210205365,Pulse,True
COMPUTATIONAL LINGUISTICS,https://openalex.org/S155526855,Computational Linguistics,True
Distance Education,https://openalex.org/S104032499,Distance Education,False
Studies in Second Language Learning and Teaching,https://openalex.org/S2764526439,Studies in Second Language Learning and Teaching,True
STUDIES IN HIGHER EDUCATION,https://openalex.org/S162196882,Studies in Higher Education,False
INTERACTIVE LEARNING ENVIRONMENTS,https://openalex.org/S90466346,Interactive Learning Environments,False
VETERINARY RESEARCH,https://openalex.org/S134003780,Veterinary Research,True
Democratization,https://openalex.org/S110268115,Democratization,False
Clinical Implant Dentistry and Related Research,https://openalex.org/S203969195,Clinical Implant Dentistry and Related Research,False
Journal of Nursing Management,https://openalex.org/S172540258,Journal of Nursing Management,True
REVIEW OF INTERNATIONAL POLITICAL ECONOMY,https://openalex.org/S2875300,Review of International Political Economy,False
Nonlinear Analysis-Hybrid Systems,https://openalex.org/S49302835,Nonlinear Analysis Hybrid Systems,False
South European Society and Politics,https://openalex.org/S38590382,South European Society & Politics,False
NEUROREHABILITATION AND NEURAL REPAIR,https://openalex.org/S4873485,Neurorehabilitation and neural repair,False
Disability and Health Journal,https://openalex.org/S182504092,Disability and health journal,False
ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE,https://openalex.org/S139062638,Archives of Pathology & Laboratory Medicine,True
JOURNAL OF YOUTH AND ADOLESCENCE,https://openalex.org/S126644992,Journal of Youth and Adolescence,False
ARTHRITIS CARE & RESEARCH,https://openalex.org/S13698240,Arthritis Care & Research,False
FOREST ECOLOGY AND MANAGEMENT,https://openalex.org/S195255895,Forest Ecology and Management,False
ANNALS OF THORACIC SURGERY,https://openalex.org/S144860794,The Annals of Thoracic Surgery,False
Journal of Commodity Markets,https://openalex.org/S2898531903,Journal of commodity markets,False
BIOLOGICAL CONTROL,https://openalex.org/S161676133,Biological Control,False
JOURNAL OF EPIDEMIOLOGY,https://openalex.org/S82044091,Journal of Epidemiology,True
Journal of Safety Science and Resilience,https://openalex.org/S4210227109,Journal of Safety Science and Resilience,True
ADDICTIVE BEHAVIORS,https://openalex.org/S186215666,Addictive Behaviors,False
BJU INTERNATIONAL,https://openalex.org/S191188855,BJU International,False
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,https://openalex.org/S62013203,Journal of Experimental Psychology General,False
REPRODUCTIVE BIOMEDICINE ONLINE,https://openalex.org/S206719219,Reproductive BioMedicine Online,False
AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY,https://openalex.org/S200780590,AJP Renal Physiology,False
JOURNAL OF SUBSTANCE ABUSE TREATMENT,https://openalex.org/S82881359,Journal of Substance Abuse Treatment,False
AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY,https://openalex.org/S47245711,AJP Lung Cellular and Molecular Physiology,False
JOURNAL OF BUSINESS AND PSYCHOLOGY,https://openalex.org/S61413993,Journal of Business and Psychology,False
JOURNAL OF DAIRY SCIENCE,https://openalex.org/S28349394,Journal of Dairy Science,True
Research in Social & Administrative Pharmacy,https://openalex.org/S50431791,Research in Social and Administrative Pharmacy,False
THROMBOSIS RESEARCH,https://openalex.org/S134546602,Thrombosis Research,False
IEEE INTERNET COMPUTING,https://openalex.org/S205899252,IEEE Internet Computing,False
JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,https://openalex.org/S193228710,Journal of Financial and Quantitative Analysis,False
European Journal of Ageing,https://openalex.org/S75642130,European Journal of Ageing,False
PSYCHOLOGY AND AGING,https://openalex.org/S55618883,Psychology and Aging,False
AMERICAN HEART JOURNAL,https://openalex.org/S46995015,American Heart Journal,False
CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,https://openalex.org/S69755223,Chemometrics and Intelligent Laboratory Systems,False
INTERNATIONAL JOURNAL FOR PARASITOLOGY,https://openalex.org/S163169856,International Journal for Parasitology,False
JOURNAL OF AGRONOMY AND CROP SCIENCE,https://openalex.org/S56137335,Journal of Agronomy and Crop Science,False
COMPUTATIONAL MECHANICS,https://openalex.org/S147854436,Computational Mechanics,False
JOURNAL OF PSYCHIATRIC RESEARCH,https://openalex.org/S160879026,Journal of Psychiatric Research,False
DEVELOPMENT,https://openalex.org/S86558740,Development,False
JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS,https://openalex.org/S183498172,Journal of the Franklin Institute,False
Dermatologic Therapy,https://openalex.org/S67424211,Dermatologic Therapy,True
Plants People Planet,https://openalex.org/S4210231449,Plants People Planet,True
INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,https://openalex.org/S53142634,International Journal of Medical Informatics,False
MARINE AND PETROLEUM GEOLOGY,https://openalex.org/S93565542,Marine and Petroleum Geology,False
International Journal of Digital Earth,https://openalex.org/S199162493,International Journal of Digital Earth,True
JOURNAL OF SYSTEMS AND SOFTWARE,https://openalex.org/S37879656,Journal of Systems and Software,False
CLINICAL NEUROPHYSIOLOGY,https://openalex.org/S38337076,Clinical Neurophysiology,False
ACM Transactions on Quantum Computing,https://openalex.org/S4210170170,ACM Transactions on Quantum Computing,False
Anaesthesia Critical Care & Pain Medicine,https://openalex.org/S2765057226,Anaesthesia Critical Care & Pain Medicine,False
BMJ Open Respiratory Research,https://openalex.org/S2736820664,BMJ Open Respiratory Research,True
EUROPEAN JOURNAL OF SOIL BIOLOGY,https://openalex.org/S126894729,European Journal of Soil Biology,False
Sport Management Review,https://openalex.org/S121058368,Sport Management Review,False
JOURNAL OF KING SAUD UNIVERSITY SCIENCE,https://openalex.org/S163784168,Journal of King Saud University - Science,True
DISPLAYS,https://openalex.org/S191329154,Displays,False
Addiction Science & Clinical Practice,https://openalex.org/S152134104,Addiction Science & Clinical Practice,True
Lupus Science & Medicine,https://openalex.org/S2764956401,Lupus Science & Medicine,True
Quantitative InfraRed Thermography Journal,https://openalex.org/S2764409548,Quantitative InfraRed Thermography Journal,False
REPRODUCTION,https://openalex.org/S28473761,Reproduction,False
JOURNAL OF THE NEUROLOGICAL SCIENCES,https://openalex.org/S169054600,Journal of the Neurological Sciences,False
Journal of the Royal Society Interface,https://openalex.org/S129150467,Journal of The Royal Society Interface,False
Big Data and Cognitive Computing,https://openalex.org/S4210238752,Big Data and Cognitive Computing,True
Smart Materials and Structures,https://openalex.org/S11146949,Smart Materials and Structures,False
JOURNAL OF PHYSIOLOGY AND BIOCHEMISTRY,https://openalex.org/S68195922,Journal of Physiology and Biochemistry,False
Bulletin of Engineering Geology and the Environment,https://openalex.org/S184406644,Bulletin of Engineering Geology and the Environment,False
China Economic Journal,https://openalex.org/S204649255,China Economic Journal,False
EUROPEAN JOURNAL OF PUBLIC HEALTH,https://openalex.org/S4210220588,European Journal of Public Health,True
Water Science and Engineering,https://openalex.org/S2764536960,Water Science and Engineering,True
Brain Behavior & Immunity-Health,https://openalex.org/S4210199197,Brain Behavior & Immunity - Health,True
CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,https://openalex.org/S8391440,Cancer Epidemiology Biomarkers & Prevention,False
Journal of Geophysical Research-Biogeosciences,https://openalex.org/S4210238840,Journal of Geophysical Research Biogeosciences,False
CYTOTHERAPY,https://openalex.org/S36838616,Cytotherapy,False
Journal of Central South University,https://openalex.org/S2505686813,Journal of Central South University,False
CLINICAL AND EXPERIMENTAL DERMATOLOGY,https://openalex.org/S80252431,Clinical and Experimental Dermatology,False
JOURNAL OF STRUCTURAL ENGINEERING,https://openalex.org/S93312259,Journal of Structural Engineering,False
Romanian Journal of Information Science and Technology,https://openalex.org/S151779546,Romanian Journal of Information Science and Technology,False
Neuro-Oncology Advances,https://openalex.org/S4210237914,Neuro-Oncology Advances,True
Chemosensors,https://openalex.org/S4210174123,Chemosensors,True
Journal of Asthma and Allergy,https://openalex.org/S164068349,Journal of Asthma and Allergy,True
QUARTERLY REVIEW OF BIOLOGY,https://openalex.org/S182717252,The Quarterly Review of Biology,False
INTERNATIONAL REVIEW OF PSYCHIATRY,https://openalex.org/S136737876,International Review of Psychiatry,False
Kardiologia Polska,https://openalex.org/S164277434,Kardiologia Polska,True
BUILDING RESEARCH AND INFORMATION,https://openalex.org/S50885219,Building Research & Information,False
Educational Psychology,https://openalex.org/S43525819,Educational Psychology,False
APPLIED LINGUISTICS,https://openalex.org/S183798913,Applied Linguistics,False
Internet Policy Review,https://openalex.org/S4210177192,Internet Policy Review,True
HIGHER EDUCATION,https://openalex.org/S94908168,Higher Education,False
EUROPEAN JOURNAL OF POLITICAL RESEARCH,https://openalex.org/S135158421,European Journal of Political Research,False
JOURNAL OF RESEARCH IN SCIENCE TEACHING,https://openalex.org/S171036940,Journal of Research in Science Teaching,False
MATHEMATICAL MODELS & METHODS IN APPLIED SCIENCES,https://openalex.org/S24332595,Mathematical Models and Methods in Applied Sciences,False
JOURNAL OF INVERTEBRATE PATHOLOGY,https://openalex.org/S115815424,Journal of Invertebrate Pathology,False
RELC Journal,https://openalex.org/S59133484,RELC Journal,False
DEMOGRAPHY,https://openalex.org/S30543418,Demography,True
Asia-Pacific Education Researcher,https://openalex.org/S61231200,The Asia-Pacific Education Researcher,False
World Journal of Pediatrics,https://openalex.org/S108301449,World Journal of Pediatrics,False
NURSE EDUCATION TODAY,https://openalex.org/S62565178,Nurse Education Today,False
ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,https://openalex.org/S110924429,Archives of Physical Medicine and Rehabilitation,False
IEEE-ACM Transactions on Computational Biology and Bioinformatics,https://openalex.org/S36029991,IEEE/ACM Transactions on Computational Biology and Bioinformatics,False
Fractal and Fractional,https://openalex.org/S4210227020,Fractal and Fractional,True
ANTIPODE,https://openalex.org/S47624153,Antipode,False
EUROPEAN JOURNAL OF PERSONALITY,https://openalex.org/S13823553,European Journal of Personality,False
Psychosocial Intervention,https://openalex.org/S2738075545,Psychosocial Intervention,True
Nuclear Science and Techniques,https://openalex.org/S18585137,Nuclear Science and Techniques,False
GENETICS SELECTION EVOLUTION,https://openalex.org/S184365670,Genetics Selection Evolution,True
International Journal of Mental Health Nursing,https://openalex.org/S175683280,International Journal of Mental Health Nursing,False
Crime and Justice-A Review of Research,https://openalex.org/S191292005,Crime and Justice,False
Journal of Organizational and End User Computing,https://openalex.org/S80285584,Journal of Organizational and End User Computing,True
Psychology of Sexual Orientation and Gender Diversity,https://openalex.org/S2764555862,Psychology of Sexual Orientation and Gender Diversity,False
Health Research Policy and Systems,https://openalex.org/S201446958,Health Research Policy and Systems,True
PATHOLOGY,https://openalex.org/S159118581,Pathology,False
HEALTH POLICY,https://openalex.org/S4210209709,Health Policy,False
Tropical Medicine and Health,https://openalex.org/S166421451,Tropical Medicine and Health,True
Neurobiology of Language,https://openalex.org/S4210207772,Neurobiology of Language,True
npj Science of Learning,https://openalex.org/S4210220735,npj Science of Learning,True
ACCOUNTING ORGANIZATIONS AND SOCIETY,https://openalex.org/S198892436,Accounting Organizations and Society,False
Chinese Physics C,https://openalex.org/S959143335,Chinese Physics C,False
Current Pediatrics Reports,https://openalex.org/S2764535896,Current Pediatrics Reports,False
Current Tropical Medicine Reports,https://openalex.org/S2765006397,Current Tropical Medicine Reports,False
Fire Ecology,https://openalex.org/S22619840,Fire Ecology,True
GROUP DECISION AND NEGOTIATION,https://openalex.org/S149709236,Group Decision and Negotiation,False
ANNALS OF BEHAVIORAL MEDICINE,https://openalex.org/S92688875,Annals of Behavioral Medicine,False
MOLECULAR HUMAN REPRODUCTION,https://openalex.org/S4210190516,Molecular Human Reproduction,False
Journal of Management Analytics,https://openalex.org/S4210210207,Journal of Management Analytics,False
JOURNAL OF BANKING & FINANCE,https://openalex.org/S2876017,Journal of Banking & Finance,False
JOURNAL OF FLUID MECHANICS,https://openalex.org/S152000018,Journal of Fluid Mechanics,False
Journal of Grid Computing,https://openalex.org/S140218187,Journal of Grid Computing,False
REVIEW OF GENERAL PSYCHOLOGY,https://openalex.org/S100167944,Review of General Psychology,False
Tourism Economics,https://openalex.org/S201197719,Tourism Economics,False
ANNALS OF BOTANY,https://openalex.org/S2254258,Annals of Botany,False
SSM-Population Health,https://openalex.org/S2764672113,SSM - Population Health,True
CHEMICAL GEOLOGY,https://openalex.org/S141585851,Chemical Geology,False
PALLIATIVE MEDICINE,https://openalex.org/S122377002,Palliative Medicine,False
Business Ethics the Environment & Responsibility,https://openalex.org/S4210218449,Business Ethics the Environment & Responsibility,False
Interface Focus,https://openalex.org/S2485448675,Interface Focus,False
Journal of Outdoor Recreation and Tourism-Research Planning and Management,https://openalex.org/S2764702529,Journal of Outdoor Recreation and Tourism,False
MOLECULAR PHYLOGENETICS AND EVOLUTION,https://openalex.org/S96989847,Molecular Phylogenetics and Evolution,False
Cluster Computing-The Journal of Networks Software Tools and Applications,https://openalex.org/S106148199,Cluster Computing,False
JOURNAL OF PUBLIC HEALTH,https://openalex.org/S27214173,Journal of Public Health,False
AQUACULTURAL ENGINEERING,https://openalex.org/S42973710,Aquacultural Engineering,False
Neurological Research and Practice,https://openalex.org/S4210211355,Neurological Research and Practice,True
Schizophrenia Research,https://openalex.org/S144105592,Schizophrenia Research,False
SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY,https://openalex.org/S189995291,Social Psychiatry and Psychiatric Epidemiology,False
BULLETIN OF VOLCANOLOGY,https://openalex.org/S93545210,Bulletin of Volcanology,False
Neurology-Genetics,https://openalex.org/S2764805357,Neurology Genetics,True
STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,https://openalex.org/S48050435,Structural and Multidisciplinary Optimization,False
PLANTA,https://openalex.org/S193523036,Planta,False
NEUROSCIENTIST,https://openalex.org/S103928886,The Neuroscientist,False
NUCLEAR MEDICINE AND BIOLOGY,https://openalex.org/S24354371,Nuclear Medicine and Biology,False
Review of Accounting and Finance,https://openalex.org/S95074589,Review of Accounting and Finance,False
Transplantation and Cellular Therapy,https://openalex.org/S4363604455,Transplantation and Cellular Therapy,False
INTERNATIONAL JOURNAL OF MULTIPHASE FLOW,https://openalex.org/S18204665,International Journal of Multiphase Flow,False
CLASSICAL AND QUANTUM GRAVITY,https://openalex.org/S171172751,Classical and Quantum Gravity,False
Strategic Change-Briefings in Entrepreneurial Finance,https://openalex.org/S141901250,Strategic Change,False
Journal of Evidence Based Medicine,https://openalex.org/S129676381,Journal of Evidence-Based Medicine,False
GEOGRAPHICAL JOURNAL,https://openalex.org/S54255202,Geographical Journal,False
Journal of Civil Structural Health Monitoring,https://openalex.org/S2764927368,Journal of Civil Structural Health Monitoring,False
Reproductive Health,https://openalex.org/S48212443,Reproductive Health,True
AUSTRALIAN JOURNAL OF PSYCHOLOGY,https://openalex.org/S156219422,Australian Journal of Psychology,True
ECOLOGY AND SOCIETY,https://openalex.org/S148307540,Ecology and Society,True
Journal of Economic Inequality,https://openalex.org/S90873577,The Journal of Economic Inequality,False
Sexual Medicine Reviews,https://openalex.org/S2764906504,Sexual Medicine Reviews,False
CLINICAL MEDICINE,https://openalex.org/S186589310,Clinical Medicine,True
SEMINARS IN THROMBOSIS AND HEMOSTASIS,https://openalex.org/S96726197,Seminars in Thrombosis and Hemostasis,False
Translational Behavioral Medicine,https://openalex.org/S2764609401,Translational Behavioral Medicine,False
European Sport Management Quarterly,https://openalex.org/S112345165,European Sport Management Quarterly,False
POSTGRADUATE MEDICAL JOURNAL,https://openalex.org/S43893605,Postgraduate Medical Journal,False
INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY,https://openalex.org/S77085303,International Journal of Geriatric Psychiatry,False
Emerging Themes in Epidemiology,https://openalex.org/S52073207,Emerging Themes in Epidemiology,True
International Journal of Multimedia Information Retrieval,https://openalex.org/S2496055428,International Journal of Multimedia Information Retrieval,False
Annals of General Psychiatry,https://openalex.org/S196365082,Annals of General Psychiatry,True
Brazilian Journal of Psychiatry,https://openalex.org/S71457257,Brazilian Journal of Psychiatry,True
PHARMACOPSYCHIATRY,https://openalex.org/S4122505,Pharmacopsychiatry,False
Engineering Construction and Architectural Management,https://openalex.org/S120049674,Engineering Construction & Architectural Management,False
MECHANICS OF ADVANCED MATERIALS AND STRUCTURES,https://openalex.org/S87569533,Mechanics of Advanced Materials and Structures,False
International Journal of Concrete Structures and Materials,https://openalex.org/S176808670,International Journal of Concrete Structures and Materials,True
Transplantation Reviews,https://openalex.org/S188185022,Transplantation Reviews,False
Journal of Information Technology in Construction,https://openalex.org/S2764534584,Journal of Information Technology in Construction,True
Frontiers of Agricultural Science and Engineering,https://openalex.org/S2738806978,Frontiers of Agricultural Science and Engineering,True
Schizophrenia Research and Treatment,https://openalex.org/S53930543,Schizophrenia Research and Treatment,True
JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,https://openalex.org/S130224168,Journal of the American Mathematical Society,False
HARVARD LAW REVIEW,https://openalex.org/S117766065,Harvard Law Review,False
PUBLIC UNDERSTANDING OF SCIENCE,https://openalex.org/S124907306,Public Understanding of Science,False
APPLIED MATHEMATICS AND COMPUTATION,https://openalex.org/S50372074,Applied Mathematics and Computation,False
JOURNAL OF CULTURAL HERITAGE,https://openalex.org/S1016481467,Journal of Cultural Heritage,False
Criminology & Public Policy,https://openalex.org/S2764941010,Criminology & Public Policy,False
AMERICAN EDUCATIONAL RESEARCH JOURNAL,https://openalex.org/S185455288,American Educational Research Journal,False
JOURNAL FOR RESEARCH IN MATHEMATICS EDUCATION,https://openalex.org/S79038290,Journal for Research in Mathematics Education,False
Thinking Skills and Creativity,https://openalex.org/S42886211,Thinking Skills and Creativity,False
LANGUAGE LEARNING,https://openalex.org/S82334308,Language Learning,False
JOURNAL OF POLITICS,https://openalex.org/S95650557,The Journal of Politics,False
Interactive Technology and Smart Education,https://openalex.org/S43354291,Interactive Technology and Smart Education,False
JOURNAL OF ENDODONTICS,https://openalex.org/S90605627,Journal of Endodontics,False
AERA Open,https://openalex.org/S2738252563,AERA Open,True
AGRICULTURE AND HUMAN VALUES,https://openalex.org/S78512408,Agriculture and Human Values,False
LANGUAGE LEARNING & TECHNOLOGY,https://openalex.org/S86672399,Language learning & technology,True
BRITISH JOURNAL OF HEALTH PSYCHOLOGY,https://openalex.org/S52059345,British Journal of Health Psychology,False
JOURNAL OF METAMORPHIC GEOLOGY,https://openalex.org/S204672714,Journal of Metamorphic Geology,False
Progress in Orthodontics,https://openalex.org/S192792821,Progress in Orthodontics,True
Integrative Zoology,https://openalex.org/S90680744,Integrative Zoology,False
JOURNAL OF ANIMAL ECOLOGY,https://openalex.org/S33456383,Journal of Animal Ecology,False
JOURNAL OF NEUROSURGERY,https://openalex.org/S1995308,Journal of neurosurgery,False
Physical Therapy,https://openalex.org/S4210185354,Physical Therapy,False
JMIR Public Health and Surveillance,https://openalex.org/S2764507669,JMIR Public Health and Surveillance,True
Surgery for Obesity and Related Diseases,https://openalex.org/S197961893,Surgery for Obesity and Related Diseases,False
International Journal of Sports Physiology and Performance,https://openalex.org/S2502187214,International Journal of Sports Physiology and Performance,False
Marine Policy,https://openalex.org/S56205983,Marine Policy,False
TREE PHYSIOLOGY,https://openalex.org/S147008614,Tree Physiology,False
ANNALS OF AGRICULTURAL SCIENCES,https://openalex.org/S2764503192,Annals of Agricultural Sciences,True
JOURNAL OF TELEMEDICINE AND TELECARE,https://openalex.org/S63600306,Journal of Telemedicine and Telecare,False
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,https://openalex.org/S192518766,Acta Obstetricia Et Gynecologica Scandinavica,False
SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS,https://openalex.org/S199863227,Scandinavian Journal of Medicine and Science in Sports,False
Transboundary and Emerging Diseases,https://openalex.org/S91749377,Transboundary and Emerging Diseases,True
